Headers,Chunk
Как работать с возвратами. Как провести возврат в программе NPOS / OFFLINE,"Если товар без брака и не относится к категории невозвратных и неотказных, вы можете самостоятельно провести возврат в программе NPOS / OFFLINE."
"Как работать с возвратами. Как провести возврат в программе NPOS / OFFLINE. Как принять возврат. Что делать, если штрихкода нет?","Если при возврате товара нет штрихкода: 1. Перейти в раздел «Возврат товара» и ввести номер телефона, к которому привязан профиль покупателя. 2. Отсканировать баркод с навесной бирки или вручную выбрать нужный товар из списка."
Как работать с возвратами. Как провести возврат в программе NPOS / OFFLINE. Как принять возврат с заявкой по браку,"Чтобы принять возврат с заявкой по браку: 1. В окне покупок за последние 14 дней в правом верхнем углу появится раздел «Заявки на возврат по браку»: перейдите туда и проверьте статус заявки. 2. Проверьте причину возврата и убедитесь, что дефект соответствует тому, что клиент описал в заявке. 3. Внимательно осмотрите товар. Важно, чтобы упаковка и бирки были на месте, а внешний вид, бренд, цвет и комплектация не отличались от информации в карточке товара. Если в комплекте было несколько вещей, а покупатель вернёт не всё, то это будет считаться недостачей. 4. Если заявку на возврат одобрили, нажмите на кнопку «Выполнить возврат». Если заявку отклонили, попросите покупателя создать новую."
"Как работать с возвратами. Как провести возврат в программе NPOS / OFFLINE. Как принять возврат с заявкой по браку. Что делать, если вы обнаружили брак во время возврата","Если вы обнаружили брак во время возврата, вежливо попросите покупателя создать заявку на брак через профиль на сайте или в приложении Wildberries. Подробную инструкцию можно найти в разделе «Как создать заявку на возврат в профиле покупателя»."
Как работать с возвратами. Невозвратные и неотказные товары. Невозвратный товар. Категории невозвратных товаров,"К невозвратным товарам относятся: - парфюмерно-косметические товары, - постельное бельё, - предметы личной гигиены, - товары 18+, - нижнее и чулочно-носочное бельё, - ювелирные изделия, - бытовая химия и агрохимикаты, - печатные издания: книги, брошюры, альбомы, ноты, календари, буклеты."
Как работать с возвратами. Невозвратные и неотказные товары. Невозвратный товар,"Невозвратный товар надлежащего качества нельзя вернуть или обменять после покупки, но от него можно отказаться при получении.  Такие условия связаны с особыми требованиями к безопасности, гигиеническими стандартами или техническими характеристиками. "
Как работать с возвратами. Невозвратные и неотказные товары. Неотказной товар,"От неотказного товара надлежащего качества нельзя отказаться после оформления заказа. К таким товарам относятся скоропортящиеся продукты и вещи, которые не подлежат возврату из-за требований безопасности или санитарных стандартов."
Как работать с возвратами. Невозвратные и неотказные товары. Неотказной товар. Категории неотказных товаров,"К  неотказному товару относятся: - смартфоны и ноутбуки - продукты питания, - БАДы и лекарственные препараты, - корма для животных."
Как работать с возвратами. Невозвратные и неотказные товары. Важно,"Обратите внимание, если в заказе есть невозвратный или неотказной товар, обязательно предупредите об этом покупателя. Попросите проверить товар на ресепшене и помогите упаковать вещь обратно. Перед тем, как закрыть чек, уточните у покупателя, всё ли в порядке с товаром и готов ли он выкупить заказ. - Если покупатель заметил дефект, брак или истекший срок годности, помогите ему создать заявку на возврат в профиле."
"Как работать с возвратами. Невозвратные и неотказные товары. Что делать, если вы случайно выдали невозвратный товар","Если вы случайно выдали невозвратный товар: 1. Извинитесь перед покупателем. Попросите его открыть профиль. 2. Если покупатель использует приложение, перейдите в раздел «Возврат товара по браку», а если мобильную версию сайта — «Обращения и проверка товара» → «Проверка товара». 3. Нажмите «Cоздать заявку» и выберите нужный товар из списка. 4. Приложите фотографии и видео, подтверждающие, что товар находится в пункте выдачи. 5. В комментарии напишите: «По ошибке провели продажу невозвратного товара». 6. Укажите ID менеджера и отправьте заявку на рассмотрение. 7. Создайте обращение в рабочей программе. 8. Выберите тему «Ошибочно проведена продажа на невозвратный товар». 9. Опишите ситуацию, укажите номер заявки по браку из профиля клиента и приложите ссылку на видео с камер — должно быть видно, что покупатель не выходил с вещью из пункта выдачи. Видео предварительно загрузите в облачное хранилище и не удаляйте, пока не получите ответ на обращение."
Как работать с возвратами. Невозвратные и неотказные товары. Технически сложные товары ( ТСТ ),"Среди неотказных товаров есть отдельная категория — Технически сложные товары ( ТСТ ). Так называют товары длительного пользования как минимум с 2 функциями и сложным внутренним устройством. У технически сложных товаров есть инструкция по эксплуатации, правила безопасного использования и гарантийный срок."
Как работать с возвратами. Невозвратные и неотказные товары. Технически сложные товары ( ТСТ ). Категории технически сложных товаров,"К технически сложным товарам относятся: - Мобильные телефоны с сенсорным экраном, - Часы с двумя и более функциями, - Компьютеры, - Ноутбуки, - Цифровые фото- и видеокамеры, - Холодильники, - Электроплиты и другие электробытовые приборы."
Как работать с возвратами. Невозвратные и неотказные товары. Технически сложные товары ( ТСТ ). Важно,"Будьте особенно внимательны, когда принимаете технически сложные товары. Всегда делайте это под камерами, чтобы зафиксировать, в каком состоянии вещь приехала в пункт выдачи. Так у вас будет доказательство на случай спорной ситуации. - Покупатель может проверить внешнее состояние и целостность упаковки только на ресепшене, строго под камерами. Распаковать и включить устройство можно только после оплаты. Не передавайте товар в руки покупателю, пока со счета не спишется вся сумма. "
Как работать с возвратами. Невозвратные и неотказные товары. Технически сложные товары ( ТСТ ). Если покупатель обнаружил брак,"Если покупатель обнаружил брак во время проверки технически сложного товара в ПВЗ, проставьте отметку о браке в системе. - Если покупатель обнаружил брак дома и хочет вернуть товар, он должен создать заявку на возврат в профиле. Заказ нужно вернуть в течение 14 дней с момента покупки. - Если покупатель обнаружил брак в течение гарантийного срока, он может связаться с продавцом. Для этого нужно перейти во вкладку «Покупки», нажать на кнопку ⋮ и выбрать «Cвязаться с продавцом». Пока эта функция доступна только на сайте Wildberries."
Как работать с возвратами. Как создать заявку на возврат в профиле покупателя,"В заказе может оказаться вещь с браком или дефектом. Чтобы вернуть такой товар после получения в пункте выдачи, покупателю нужно создать заявку через профиль в мобильной версии сайта или в приложении Wildberries.  С 4 апреля 2024 года оформить заявку на проверку товара можно в течение 1 года после покупки."
Как работать с возвратами. Как создать заявку на возврат в профиле покупателя. Как создать заявку на возврат в мобильной версии сайта,"Чтобы создать заявку на возврат в мобильной версии сайта: 1. Откройте вкладку «Профиль» в правом нижнем углу. 2. Перейдите в раздел «Обращения и проверка товара» → «Проверка товара». 3. Нажмите на кнопку «Создать заявку» и выберите нужный товар из списка покупок. 4. Заполните заявку на возврат:  2. Приложите фотографии и видео в хорошем качестве: вещь и дефект должны быть в фокусе, не размытыми. Маркировка и бирки — чёткими, хорошо читаемыми. 3. Опишите брак в пустом поле внизу страницы.  5. Нажмите на кнопку «Отправить». Обращение рассмотрят в течение 7 дней. Следить за статусом заявки можно в этом же разделе. 6. Когда статус изменится на «Одобрено», покупателю нужно будет принести товар в ПВЗ."
Как работать с возвратами. Как создать заявку на возврат в профиле покупателя. Как создать заявку на возврат в приложении для Android и iOS,"Чтобы создать заявку на возврат в приложении для Android и iOS: 1. Откройте вкладку «Профиль» в правом нижнем углу. 2. Перейдите в раздел «Возврат товара по браку» → «Возврат после оплаты по браку». 3. Нажмите на кнопку «Создать заявку» и выберите нужный товар из списка покупок. 4. Заполните заявку на возврат:  2. Приложите фотографии и видео в хорошем качестве: вещь и дефект должны быть в фокусе, не размытыми. Маркировка и бирки — чёткими, хорошо читаемыми. 3. Опишите брак в поле «Комментарий».  5. Нажмите на кнопку «Отправить заявку». Обращение рассмотрят в течение 7 дней. Следить за статусом заявки можно в этом же разделе. 6. Когда статус изменится на «Одобрено», покупателю нужно будет принести товар в ПВЗ."
"Как работать с возвратами. Как создать заявку на возврат в профиле покупателя. Что делать, если заявку на возврат отклонили","Если заявку на возврат отклонили, а вещь действительно бракованная, вежливо попросите покупателя заполнить заявку ещё раз, приложить более чёткие фотографии и видео, подробнее описать дефект. Важно донести до покупателя, что заявка — единственный способ решения проблемы. И если правильно заполнить форму, ситуация решится в его пользу. Не вступайте в конфликт, если покупателя не устроил ваш ответ. Спокойно предложите ему обратиться на горячую линию по телефонам:  8 (495) 775-55-05"
Как работать с возвратами. Что делать в нестандартных ситуациях. Товар в сервисном центре,"Если диагностика подтвердила, что товар бракованный, покупатель может сделать возврат, даже если вещь не вернулась из сервисного центра. Для этого у покупателя на руках должен быть акт — подтверждение того, что товар бракованный и находится в сервисном центре.  Как оформить и провести такой возврат:  1. Покупатель получает акт из сервисного центра и создаёт заявку на возврат по браку в профиле. Фотографию акта нужно прикрепить к заявке вместо фотографии товара. 2. После того, как заявку одобрят, покупатель приходит в ПВЗ с актом. 3. Проверьте заявку и акт. Если всё в порядке, проведите возврат. 4. Положите документ в файл, а затем — в возвратную коробку. 5. Напишите штрихкод вещи на листке бумаге и приклейте его к возвратной коробке, чтобы на складе могли идентифицировать товар.  Чтобы обезопасить себя в спорной ситуации, проводите возврат под камерами, сфотографируйте акт из сервисного центра и сохраните снимок."
"Как работать с возвратами. Что делать в нестандартных ситуациях. Нет штрихкода, навесной или вшивной бирки. Возврат без ШК","Если нет штрихкода, но нужно произвести возврат: 1. Введите номер телефона покупателя, чтобы открыть его в системе. 2. Найдите товар в списке по информации на бирке и внешнему виду вещи. 3. Проверьте, есть ли дефекты или следы носки. 4. Сравните бренд, размер и комплектацию с информацией в карточке товара. 5. На листке бумаги напишите вручную штрихкод — это нужно для того, чтобы на складе смогли идентифицировать товар и переупаковать его. 6. Приклейте листок со штрихкодом на пакет с товаром с помощью прозрачного скотча. 7. Введите штрихкод товара вручную и упакуйте его в коробку для возврата."
"Как работать с возвратами. Что делать в нестандартных ситуациях. Нет штрихкода, навесной или вшивной бирки. Возврат без вшивной бирки","Если при возврате нет вшивной бирки: покупателю нужно будет оформить заявку на брак через профиль на Wildberries. Только когда заявку одобрят, вы сможете принять возврат в пункте выдачи. Если покупатель не знает, как оформить заявку, помогите ему. Инструкция есть в разделе “Как создать заявку на возврат в профиле покупателя​”"
"Как работать с возвратами. Что делать в нестандартных ситуациях. Нет штрихкода, навесной или вшивной бирки. Возврат без навесной бирки","Если при возврате на товаре нет навесной бирки, примите возврат по стандартной процедуре. В этом случае создавать заявку на брак не нужно."
Организационные процессы. Рабочий день менеджера: чек-лист,"Что нужно сделать менеджеру за день? Сверяйтесь с этим чек-листом в течение дня. Советуем приходить хотя бы за 30 минут до смены, чтобы спокойно подготовиться к открытию  1. Осмотрите пункт выдачи:  - Нет следов взлома или протечек - Сообщить руководителю, какие коробки пришли, а какие — нет - Проверить оборудование: всё должно работать  2. Осмотрите стол менеджера:  - На столе чисто: нет мусора и личных вещей - Нет следов скотча и маркера - Есть ножницы, канцелярский нож, маркеры, скотч и возвратные наклейки - Есть пакеты всех 4 размеров: большой, средний, маленький и пакет-майка - Провода лежат аккуратно, не путаются  3. Откройте рабочую программу:  - Убедиться, что интернет работает - Войти в NPOS  Если не знаете пароль от компьютера или WiFi, обратитесь к руководителю  4. Проверьте камеры:  - Видеонаблюдение работает: есть онлайн-трансляция в разделе «Видеонаблюдение» или в программе DMSS - На камерах видно основные зоны: клиентскую и склад  5. Примите товары:  - Проверить, что адрес на коробках совпадает с адресом ПВЗ - Принять и разобрать коробки - Разложить товары из приходных коробок по ячейкам - Вернуться в раздел «Приёмка» и нажать на кнопку «Разбор окончен»  Принимайте и разбирайте коробки только под камерой видеонаблюдения  Нельзя принять больше 10 коробок одновременно. Отсканируйте первые 10 коробок, разберите их, а потом переходите к следующим 10 коробкам  6. Соберите возвраты:  - Создать возвратную коробку - Добавить в коробку отказные и невостребованные товары  7. Напишите руководителю:  - Сообщить, что пункт готов к работе - Рассказать о проблемах, если они есть  8. Откройте пункт и начните выдавать заказы:  - Проверять товар на брак под камерами вместе с покупателем перед примеркой - После примерки проверять, что товар не подменили и не испортили внешний вид - Сверять штрихкоды на пакетах, чтобы не перепутать товары между собой - Если брак есть, сразу отмечать его в программе - Если брак на неотказном или невозвратном товаре, помочь покупателю с заявкой на возврат - Озвучивать покупателю количество товаров и общую сумму перед оплатой - Проверять, что деньги списались  Сейчас заказы часто оплачивают через WB Кошелёк. Спросите у покупателя, есть ли на счёте деньги, прежде чем списать оплату  9. Если нужно на перерыв, повесьте на дверь табличку с номером телефона менеджера, временем начала и окончания перерыва  За рабочий день можно сделать 4 перерыва. Каждый — не больше 15 минут  10. Перед закрытием выдайте последний заказ и подготовьте возвраты:  - Закрыть последний заказ в программе - Собрать отказы, возвраты и невостребованные товары - Отправить отказы клиентов после примерки и возвраты из дома в тот же день - Проверить вкладку «Вещи в офисе». В ней должны отображаться только неизвестные товары: с 2 штрихкодами, излишки и пересорт  Товары, которые доставили в пункт по ошибке, отправляйте на склад вместе с обычными возвратами  11. Приведите в порядок ПВЗ:  - Прибраться в клиентской зоне и на складе - Оставить несколько пустых коробок под возвраты на завтра - Порезать остальные коробки и создать для картона возвратную коробку в программе - Закрыть возвратные коробки в программе - Поставить коробки с картоном и возвратами под камерой  12. Осмотрите и закройте пункт:  - Нет протечек, замыкания или других проблем - Выключить свет - Закрыть дверь"
"Организационные процессы. Рабочий день менеджера: чек-лист. Обратитесь к своему руководителю, если:","Обратитесь к своему руководителю, если возникли проблемы или нестандартные ситуации, такие как:— закончились фирменные пакеты  — вы не знаете пароль от компьютера, не можете подключиться к WiFi  — вы не знаете ШК офиса  — отвязался сканер, возникли сложности с видеонаблюдением или другой техникой  — вы хотите, чтобы вас кто-то подменил на время  — возникли проблемы с ботом-помощником"
Организационные процессы. Чистота и порядок: чек-лист. Чек-лист. Прилегающая территория и вход,"Обязанности менеджера по поддержанию чистоты: -В радиусе 5 м от пункта чисто — территория выглядит ухоженной - На фасаде нет надписей, граффити и объявлений - Урны чистые, заполнены не больше, чем на ⅓ - Ступеньки чистые - Вывеска чистая, подсветка работает - Двери в пункт чистые: без отпечатков пальцев и грязи - Двери открываются легко, доводчик исправный - Дверные ручки чистые с наружной и с внутренней стороны - Есть табличка «Открыто-закрыто-перерыв» - Лайтбокс с режимом работы чистый, включён 24/7  Вместо лайтбокса могут быть брендированная пластиковая табличка или наклейка. Они тоже должны быть чистыми и в хорошем состоянии"
Организационные процессы. Чистота и порядок: чек-лист. Чек-лист. Что делать с мусором,"В течение дня складывайте мусор в картонную коробку без логотипа. После смены заклейте упаковку и напишите на ней «Мусор». Поставьте коробку в клиентскую зону — водитель заберёт её вместе с возвратами.  Если мусора мало, можете убрать его в пакет и выбросить в контейнер около пункта выдачи"
Организационные процессы. Чистота и порядок: чек-лист. Чек-лист. Клиентская зона и примерочные,"В клиентской зоне и примерочных проверяйте, что: - Видеонаблюдение работает - Бренд-стена чистая, вывеска Wildberries висит ровно, все буквы на месте - Стол менеджера и стол выдачи чистые, без лишних вещей - Все объявления — брендированные. Размещены в тейбл-тентах или на пробковой доске - Стены чистые - Пол чистый, нет мусора и грязи под рабочим столом, под пуфами и лавочками, под напольным зеркалом - Все лампочки горят - В примерочных нет коробок, инвентаря и других посторонних предметов - Шторы чистые, не мятые и не порванные - На карнизе и верхних перегородках нет пыли - Зеркала чистые, целые, без отпечатков пальцев - Коврики чистые и сухие - Есть рожок для обуви, целый и не погнутый - Пуф в каждой примерочной чистый - Крючки целые, хорошо закреплены - Подсветка работает, в примерочных достаточно света - Мусорное ведро чистое, заполнено не больше, чем на ⅓ - Свободные примерочные открыты, шторы сдвинуты на одну сторону  В течение дня следите за чистотой стола, мебели и зеркал. Протирайте поверхности влажной тряпкой без моющих средств"
Организационные процессы. Чистота и порядок: чек-лист. Чек-лист. Склад и подсобное помещение,"На складе и вподсобном помещении проверяйте, что:- Видеонаблюдение работает - Все лампочки горят - Пол чистый - Поверхности чистые, без пыли и грязи - На полках порядок - Нет сломанных полок и стеллажей - Нет посторонних запахов"
Организационные процессы. Чистота и порядок: чек-лист. Чек-лист. Как избавиться от запахов,Проветривайте помещение в течение дня. Можно использовать ароматический диффузор или интерьерный парфюм с нейтральным запахом для борьбы с неприятными ароматами
Организационные процессы. Чистота и порядок: чек-лист. Чек-лист. Если что-то сломалось,"Вывеска не работает, зеркало треснуло, стеллаж упал, у лавочки сломалась ножка? Сообщите об этом руководителю, чтобы он помог с ремонтом или заменой"
Организационные процессы. Чистота и порядок: чек-лист. Чек-лист. Ежедневная уборка,"Проводите влажную и сухую уборку каждый день, чтобы поддерживать чистоту.  Что сделать:  - Оттереть следы на полу, дверях, стенах, мебели,стеллажах и в примерочных - Убрать жвачки, скотч и другую налипшую грязь с пола, стола и поверхностей - Протереть все горизонтальные поверхности: верх примерочных, светильники, вывески - Протереть зеркала - Подмести пол, в том числе под столами, стеллажами, пуфиками и урнами - Протереть влажной тряпкой пол, в том числе под столами, стеллажами, пуфиками и урнами - Вынести мусор"
Организационные процессы. Чистота и порядок: чек-лист. Чек-лист. Генеральная уборка,"Как часто проводить генеральную уборку, решает руководитель пункта. Обычно — от 1 раза в неделю до 1 раза в 1-2 месяца.  Что сделать:  - Выполнить все пункты из чек-листа «Ежедневная уборка» - Убрать паутину из углов - Отмыть ножи и ножницы от скотча, заменить лезвия - Протереть технику, антивандальный ящик - Протереть мебель - Протереть огнетушители и подставки под них - Постирать шторы из примерочных - Помыть коврики - Заказать расходники, если что-то закончилось"
Организационные процессы. Инвентарь и расходники,"Среди обязанностей менеджера — следить за состоянием пункта выдачи, поддерживать помещение в чистоте и пополнять запасы расходников. Ниже вы найдёте список всего необходимого, а ещё рекомендации на случай, если что-то сломалось или повредилось."
Организационные процессы. Инвентарь и расходники. Как пополнять запасы?,На следующий день после смены вам на счёт в личном кабинете Wildberries придут деньги на хозяйственные нужды для пополнения запасов. Сумму можно вывести себе на карту и самостоятельно заказать расходники
Организационные процессы. Инвентарь и расходники. Сколько выделяют на хозяйственные нужды?,"На хозяйственные нужды выделяют 0.025% от выручки ПВЗ  Пример: За день пункт выдачи заработал 200 000 ₽. На хозяйственные нужды менеджеру начислят 0,025% от этой суммы — 50 ₽"
Организационные процессы. Инвентарь и расходники. Инвентарь,"Какой инвентарь должен быть в ПЗ: - Лопата для чистки снега (кроме пунктов внутри ТЦ), - Ведро, - Швабра, - Щётка и совок, - Тряпки, - Ножницы.  Инвентарь заказывают перед открытием нового пункта выдачи. Если что-то из списка сломалось, сообщите руководителю"
Организационные процессы. Инвентарь и расходники. Расходные материалы,"Какие расходные материалы должны быть в пункте: - Средство для мытья пола, - Средство для мытья стёкол, - Скотч, - Канцелярские ножи и сменные лезвия, - Тряпки для уборки, - Ластики, ручки, фломастеры и маркеры, - Возвратные наклейки, - Влажные салфетки, - Бумага А4, - Картриджи для принтера, - Рожки для обуви, - Крючки для примерочных, - Ароматические диффузоры.  Пополняйте запасы расходников на деньги, которые выделяют на хозяйственные нужды. Если возникнут проблемы, сообщите руководителю"
Организационные процессы. Инвентарь и расходники. Если что-то сломалось или повредилось. Прилегающая территория и вход,"Если сломалась вывеска Wildberries, лайтбокс, лестница, перила, пандус, дверь, дверная ручка или доводчик, сообщите руководителю, что нужен ремонт. - Если нужно заменить наклейку с режимом работы, закажите новую на WB. Найти наклейку можно по запросу: «Режимник Wildberries наклейка». Перед заказом проверьте, что время на наклейке совпадает с режимом работы вашего пункта. - Если сломалась табличка «Открыто-закрыто-перерыв», закажите новую на WB. Артикулы: 151809269 или 76873490  Нельзя писать на картоне от руки вместо таблички"
Организационные процессы. Инвентарь и расходники. Если что-то сломалось или повредилось. Клиентская зона и примерочные,"Если сломалась или повредилась мебель, зеркало или коврик, сообщите руководителю, что нужен ремонт. - Если сломался светильник или перегорела лампочка, замените на такие же самостоятельно или сообщите руководителю о проблеме. - Если сломался тейбл-тент — подставка для объявлений — закажите новый на WB или попросите руководителя. Артикулы: 20868971 или 97295309  Нельзя использовать картон вместо тейбл-тентов и писать объявления от руки"
Работа с товарами. Как принимать товары,"Приёмка товаров делится на несколько этапов: курьер привозит заказы в приходных коробках, менеджер сверяет адрес и принимает коробки на баланс, а потом распределяет товары по ячейкам. Рассказываем подробнее, что делать на каждом из этапов."
Работа с товарами. Как принимать товары. Проверьте коробки,"Проверьте коробки. На каждой коробке есть транспортировочная наклейка. Прежде чем принять коробку на баланс, сверьте адрес на наклейке с фактическим адресом вашего пункта выдачи. Если адрес совпал, переходите к следующему шагу."
Работа с товарами. Как принимать товары. Проверьте коробки. Если адрес не совпал,"Если при приемке адрес на коробке не совпал,  не принимайте коробку на баланс офиса. Отложите её, запишите номер и адрес назначения, а затем отправьте информацию руководителю. Коробку, которую доставили по ошибке, передайте курьеру. Обязательно делайте это под камерами видеонаблюдения.  Если вы по ошибке приняли товар из поставки для другого пункта выдачи, он будет отображаться в системе как неизвестный ШК. Отсканируйте этот товар в возвратную коробку и передайте курьеру."
Работа с товарами. Как принимать товары. Проверьте коробки. Если привезли не все коробки,"Если привезли не все коробки, сообщите об этом руководителю. Не забудьте указать ID ПВЗ, адрес пункта и номер коробки. Вы также можете сообщить о проблеме в Telegram-бот @WBManager_help_bot. В чате нажмите кнопку «Создать заявку» → Доставка товара → Фиктивная отметка водителя и укажите информацию о пункте и коробке."
Работа с товарами. Как принимать товары. Примите коробки в NPOS,"Когда убедитесь, что все коробки доставили, примите их на баланс офиса в рабочей программе NPOS.Принимайте коробки только под камерами видеонаблюдения  1. Из меню слева перейдите в раздел «Приёмка» → Приём коробок 2. Смените раскладку клавиатуры на английский язык. Если этого не сделать, система покажет ошибку «Невалидный ШК» 3. Нажмите на пустую строку и отсканируйте QR-код на приходной коробке. Если всё в порядке, она отобразится ниже с фиолетовой галочкой 4. Если QR-код не читается, введите номер коробки вручную в формате TRBX0000000 — вместо нулей укажите номер коробки"
