Question,Chunk,Hard negative
Какие товары вообще нельзя вернуть?,"К невозвратным товарам относятся: - парфюмерно-косметические товары, - постельное бельё, - предметы личной гигиены, - товары 18+, - нижнее и чулочно-носочное бельё, - ювелирные изделия, - бытовая химия и агрохимикаты, - печатные издания: книги, брошюры, альбомы, ноты, календари, буклеты.","Если покупатель пытается вернуть после примерки не ту вещь, которую вы ему выдали, не оформляйте отказ. Попросите клиента выкупить вещь и оформить заявку на возврат в профиле. Вы сможете принять возврат только после того, как заявку одобрят.  Инструкция есть в разделе Как создать заявку на возврат в профиле покупателя"
"Как включить звук на компьютере, если кнопка неактивна?","Звук не работает нигде:  1. Проверьте, не выключен ли звук на компьютере 2. Если кнопка звука на панели выглядит неактивной, нажмите на неё. Если не помогло: 1. Откройте меню 2. Перейдите в «Мультимедиа (Аудио)» 3. Затем выберите «Регулятор громкости PulseAudio (Микшер)» 4. Убедитесь, что во вкладке «Конфигурация» выбрали профиль «Аналоговый стерео дуплекс» 5. Проверьте устройство во вкладке «Устройства вывода». Если вы пользуетесь компьютером HP и звук играет с самого устройства, выберите «Динамики». Если подключены колонки, выберите соответствующее устройство, например, «Аналоговые наушники». 6. Во вкладке «Проигрывание» в правом нижнем углу окна выберите «All Streams».","Если ИБП начал издавать звуковые сигналы: 1. Отключите от ИБП все устройства и подключите их к обычным розеткам или сетевым фильтрам 2. Выключите ИБП из розетки на 20 минут 3. Через 20 минут подключите ИБП обратно к розетке, но не нажимайте кнопку включения и не подключайте к нему другие устройства 4. Оставьте ИБП в таком состоянии на 1 час, чтобы аккумуляторы зарядились 5. После нажмите и удерживайте кнопку включения на ИБП 6. Подключите к ИБП все устройства"
"Как отметить в системе, что товар возвращается?","В разделе ""Возврат товара"" NPOS/OFFLINE можно провести возврат, который покупатель решил сделать после того, как забрал заказ из ПВЗ. Чтобы принять возврат: 1. Отсканируйте штрихкод на упаковке. 2. Если штрихкода нет, введите номер покупателя в поисковой строке через «7». 3. Откройте профиль покупателя — в разделе отобразятся его заказы за последние 14 дней. Проставьте галочку в левом столбце в строке товара, который нужно вернуть. 4. Отсканируйте баркод товара. 5. Сверьте марку, модель и размер с описанием в программе и карточкой товара. 6. Проверьте навесную бирку и штрихкод. Если вещь вернут в упаковке с другим ШК, программа посчитает это недостачей. 7. Если все соответствует описанию, нажмите на кнопку «Выполнить возврат» в правом нижнем правом углу. Деньги вернутся в течение 14 рабочих дней — точные сроки зависят от банка.  ","NPOS — основной рабочий инструмент для менеджеров ПВЗ. С помощью этой программы вы сможете:  - искать информацию о товаре, - принимать товар, - выдавать заказы, - принимать возвраты от покупателей, - отправлять товары на склад (если срок хранения истек), - проводить платежи, - проводить инвентаризацию, - работать с недостачами."
А пакеты-майки мы тоже сканируем?,"Фирменные пакеты бесплатные, а пакет-майка стоит 5 рублей.Отсканируйте штрихкод пакета, даже если он бесплатный. Это нужно для отчётности.","Обратитесь к своему руководителю, если возникли проблемы или нестандартные ситуации, такие как:— закончились фирменные пакеты  — вы не знаете пароль от компьютера, не можете подключиться к WiFi  — вы не знаете ШК офиса  — отвязался сканер, возникли сложности с видеонаблюдением или другой техникой  — вы хотите, чтобы вас кто-то подменил на время  — возникли проблемы с ботом-помощником"
"Куда нужно загрузить доказательства, если я хочу оспорить недостачу?","Доказательства, чтобы оспорить удержание, нужно будет добавить в папку на Яндекс Диске. Ниже рассказываем, какие материалы пригодятся, чтобы оспорить недостачу:  - Если ШК не поступил со склада  Прикрепите запись с камеры наблюдения, как вы разбираете приходную коробку. На видео должен быть весь процесс: от момента, когда вы вскрыли коробку, и до того, как приняли последний ШК.  - Если возврат не доехал до склада  Прикрепите запись с камеры наблюдения, как вы собираете возвратную коробку: от начала и до момента закрытия коробки, также предоставьте видео того, как водитель забирает возвратную коробку.  - Если на товаре 2 штрихкода  Когда будете принимать такой товар, сделайте фотографии и запишите видео, чтобы были видны оба штрихкода. Сохраните материалы на Яндекс Диске. Когда нужно будет оспорить удержание, прикрепите файлы и добавьте видео того, как принимали товар.  - Если пришла пустая упаковка  Если вы обнаружили упаковку без товара внутри, когда принимали товар, зафиксируйте это на фото или видео. Важно, чтобы штрихкод было чётко видно. Чтобы оспорить недостачу, прикрепите запись с камеры наблюдения: приёмку товара, выдачу заказа и момент, когда клиент отказывается от товара, а также скриншот с отметкой о браке в программе.","Чтобы оспорить недостачу и удержание: -Откройте спор в течение 3 дней с того момента, как получили вычет. - Понятно опишите, что произошло. Можно сделать это в самом обращении или приложить документ в формате DOC или DOCX. Файл предварительно добавьте в ту же папку на Яндекс Диске, где будут и остальные материалы. - Убедитесь, что ссылка на Яндекс Диск работает. Не удаляйте папку с материалами, пока спор не закончился. - Пронумеруйте фотографии и видео в хронологическом порядке — так запрос рассмотрят быстрее. - Не откладывайте ответ надолго, если вас попросили прислать дополнительную информацию или материалы. - Соблюдайте правила деловой переписки и не оскорбляйте специалистов."
Есть ли у нас какие-то рекомендации по поддержанию порядка?,"Обязанности менеджера по поддержанию чистоты: -В радиусе 5 м от пункта чисто — территория выглядит ухоженной - На фасаде нет надписей, граффити и объявлений - Урны чистые, заполнены не больше, чем на ⅓ - Ступеньки чистые - Вывеска чистая, подсветка работает - Двери в пункт чистые: без отпечатков пальцев и грязи - Двери открываются легко, доводчик исправный - Дверные ручки чистые с наружной и с внутренней стороны - Есть табличка «Открыто-закрыто-перерыв» - Лайтбокс с режимом работы чистый, включён 24/7  Вместо лайтбокса могут быть брендированная пластиковая табличка или наклейка. Они тоже должны быть чистыми и в хорошем состоянии","Удержать выплаты могут за: -Проблемы с дисциплиной: если опаздываете, уходите раньше, прогуливаете без уважительной причины, не соблюдаете чистоту и порядок в пункте, грубо общаетесь с покупателями, неопрятно выглядите. - Ущерб компании: если умышленно портите товары или ценности в пункте выдачи. - Низкие показатели: если у вас плохой рейтинг, вы нарушаете сроки приёмки."
"Как найти нужный товар для возврата, если нет штрихкода?","Если при возврате товара клиентом штрихкода нет, введите номер покупателя в поисковой строке через 7, перейдите в профиль клиента, найдите нужный товар в заказах, поставьте галочку в строке товара, отсканируйте баркод.Продолжайте возврат по обычному сценарию","Если вы потеряете товар или коробку в пункте выдачи, отправите вещь на склад без штрихкода или товар не вернётся в сортировочный центр после возврата, программа посчитает это за недостачу. Из зарплаты удержат сумму в размере стоимости товара."
Как удалить все старые подключения к интернету?,"Чтобы удалить все старые подключения: -1. Нажмите на значок подключения в правом нижнем или верхнем углу экрана. Обычно он выглядит как две стрелочки или два монитора 2. Проверьте, что есть галочка в поле «Включить поддержку сети» 3. Нажмите «Изменить соединения» 4. В открывшемся окне выберите каждое соединение в списке и нажмите кнопку «-», чтобы удалить их все 5. Перезагрузите компьютер 6. После перезагрузки на компьютере появится одно соединение, и он автоматически получит IP-адрес","Чтобы подключить сканер MERTECH через интернет: -1. Подключите док-станцию от сканера к компьютеру. 2. Подключите к станции сетевой интернет-кабель. 3. Поставьте сканер в док-станцию, и он автоматически подключится к компьютеру."
"Что нужно проверить на коробке перед тем, как ее принять?","Проверьте коробки. На каждой коробке есть транспортировочная наклейка. Прежде чем принять коробку на баланс, сверьте адрес на наклейке с фактическим адресом вашего пункта выдачи. Если адрес совпал, переходите к следующему шагу.","С помощью интерфейса в разделе ""Приемка"" вы cможете принимать товары.  Приёмка включает два этапа: - Отсканируйте транспортировочную наклейку на коробке — голосовой помощник сообщит, что коробка принята. За один раз можно принять не более 10 штук. - Обязательно сверяйте адрес на приходной коробке с фактическим адресом пункта — они должны совпадать. - Коробки и товары нужно принимать только под камерой видеонаблюдения. Так у вас будет доказательство в случае, если возникнет спорная ситуация. Например, чтобы оспорить недостачу. "
"Как оформить возврат, если покупатель обнаружил брак?","Если при возврате вы обнаружите брак или дефект, вежливо попросите покупателя создать заявку на брак через профиль в приложении или на сайте WB.  Без заявки принимать возврат нельзя: за это из зарплаты вычтут стоимость товара  - Предложите покупателю помощь с заявкой. Подробная инструкция есть в разделе «Как создать заявку на возврат в профиле покупателя». - Если покупатель уже создал заявку на брак, найдите его профиль в системе по ШК товара или номеру телефона. - Нажмите на кнопку «Заявки на товар по браку» в правом верхнем углу. В этом разделе отображаются заявки и их статус: «Отклонено», «На рассмотрении» или «Одобрено». - Изучите содержание заявки: проверьте, по какой причине покупатель хочет вернуть товар и соответствует ли вещь этому описанию. - Если всё в порядке, нажмите на кнопку «Выполнить возврат». - Предупредите покупателя, что возврат денег может занять до 7 календарных дней. Подробности — на сайте WB.","Возвраты бывают следующих видов: - Отказ. Покупатель отказался от товара при получении в ПВЗ. - Обычный возврат. Покупатель забрал заказ, но передумал и принёс вещь в пункт. - Возврат по браку. Покупатель оформил заявку на проверку товара, а потом принёс вещь в пункт. - Невостребованный товар. Клиент не забрал заказ в течение 12 дней. - Излишек или пересорт. Товар случайно доставили не в тот пункт выдачи."
"Что нужно сделать, чтобы водитель WB Go мог выгрузить товар?","Если курьер будет выгружать товары по программе WB Go, нужно открыть эту вкладку и показать водителю QR-код.","Если вы не можете определить ячейку, в которой лежит товар, введите штрихкод в строку поиска. Программа покажет номер ячейки и имя покупателя."
Почему покупатели часто злятся на нас?,"Покупатели не знают, как устроены процессы в Wildberries, поэтому направляют негатив на менеджера пункта, даже если ошибка произошла не по вашей вине.  Что делать,  если возник конфликт:  - Не поддавайтесь эмоциям, если покупатель проявляет агрессию и провоцирует. - Говорите спокойно и чётко, даже когда ситуация накаляется. - Не принимайте негатив на свой счёт. Постарайтесь как можно лучше разобраться в проблеме. Покажите искренний интерес, чтобы покупатель понимал, что ему хотят помочь.  Что делать:  - Узнайте имя. Обращайтесь к покупателю только так, как он представился. Если обсуждаете проблему при покупателе с сотрудником поддержки или руководством, не используйте местоимения «он» или «она» — называйте клиента по имени. - Выслушайте. Дайте покупателю высказаться и не перебивайте — так вы сможете понять контекст и вникнуть в суть проблемы. - Задайте вопросы. Когда покупатель закончит монолог, вежливо уточните то, что не поняли: «Я правильно вас услышал…?» «Я правильно понимаю, что…?» - Проявите эмпатию. Посочувствуйте, если покупатель расстроен: «Мне очень жаль, что вы получили вещь с дефектом». «Понимаю, как это неприятно». «Понимаю ваше негодование». - Извинитесь, если действительно допустили ошибку: «Извините, что списал деньги не за тот товар». «Простите за неудобства». «Извините, что вам приходится разбираться с этим». «Это моя ошибка, простите». Когда дали покупателю высказаться и разобрались в ситуации, предложите решение.  Что делать:  - Решите проблему. Проговорите все шаги для покупателя: «Сейчас мы вместе посмотрим товар под камерами и всё проверим. Если с вещью снова будут проблемы, сразу оформим возврат». - Предложите альтернативу. Если не можете решить проблему здесь и сейчас, помогите создать заявку на проверку товара или связаться со службой поддержки. - Не стесняйтесь обратиться за советом. Если не знаете, как поступить, попросите помочь более опытного коллегу или руководство.",Во вкладке «Места хранения» можно распечатать номера ячеек и полок — нужно указать количество и нажать на галочку справа.
Как избавиться от товара с истекшим сроком годности?,"Во вкладке «Утиль» отображаются товары, которые нужно утилизировать самостоятельно. В том числе вещи с дефектами, у которых истек срок годности. Чтобы утилизировать товары, отметьте нужные позиции в системе и нажмите на кнопку «Утилизировать».","В разделе «Движение вещей» можно посмотреть движение всех товаров за день в ПВЗ. Введите ШК товара в строку поиска, чтобы проверить:  - когда и во сколько приняли товар; - в какой коробке товар поступил в ПВЗ; - выкупили товар или отказались от него; - в какую коробку с возвратом добавили товар; - перемещали ли товар с ячейки на ячейку или полку."
"Как избежать удержания за брак, который не существует?","Чтобы избежать вычета из-за брака, внимательно проверяйте товар перед выдачей и после примерки. - Если заметили дефект, сразу ставьте отметку в программе NPOS — так вы не попадёте под коллективную ответственность за брак. - Когда покупатель отказывается от товара из-за брака, обязательно рассмотрите вещь и убедитесь, что дефект действительно есть. Если поставите отметку о браке на товар, у которого нет дефекта, с вас удержат стоимость обратной доставки на склад.","Раздел «Баланс» — ваша личная бухгалтерия. Тут можно посмотреть, сколько вы заработали и за что, а также узнать сумму недостач.  В разделе «Баланс» есть четыре вкладки: «Заработок», «Недостачи», «Личный кабинет» и «Вознаграждения»."
"Как поступить, если покупатель не хочет ждать 24 часа?","Когда не можете найти товар: 1. Скажите покупателю, что вам нужно больше времени, чтобы найти заказ на складе. Не переключайтесь на другого клиента, даже если в очереди есть другие люди 2. Проверьте ближайшие и созвучные ячейки: товар могли по ошибке убрать на соседнее место или положить на ячейку 122 или 132 вместо правильной ячейки 22 3. Откройте раздел «Движение вещей», введите штрихкод и проверьте дату и время приёмки товара 4. Откройте раздел «Видеонаблюдение», перемотайте запись на нужное время и проследите, куда положили товар 5. Если не получилось найти товар, скажите об этом покупателю и поставьте отметку в программе, в столбце «Потерял». У вас будет 24 часа на то, чтобы найти товар 6. Предложите покупателю зайти позже или оставить номер телефона на случай, если товар найдётся. Не настаивайте, если покупатель не хочет делиться контактами 7. Если не было предоплаты и от товара можно отказаться, покупателю не обязательно ждать 24 часа. В этом случае клиент может сразу же отказаться от товара  Когда поставите отметку «Потерял», за товар начислится долг — он упадёт на баланс менеджера, который принимал заказ после сортировочного центра","Любую недостачу можно оспорить. Если вы не виноваты, сумма долга уменьшится."
Что чаще всего провоцирует конфликты с покупателями?,"Конфликты и недовольство чаще всего возникают, если: - менеджер делает что-то не так, например, случайно выдаёт невозвратный товар; - покупатель невнимательно оформляет заказ, например, не замечает, что отказ от товара платный или вещь невозвратная.  Рассказываем, как вести себя в конфликтной ситуации, в инструкции Как построить конструктивный диалог с покупателем​","В разделе «Статистика» отображаются данные за смену: сумма продаж и возвратов за день, количество принятого товара и рейтинг ПВЗ."
"Что с компом, экран черный?","Чёрный экран после загрузки Linux: 1. Перезагрузите или включите компьютер, если он выключен 2. Когда нажмёте на кнопку запуска, одновременно удерживайте клавишу Shift, чтобы попасть в «Загрузчик» 3. Если не получилось, перезагрузите компьютер ещё раз. Пока устройство загружается, нажимайте Shift несколько, пока не появится меню, описанное ниже 4. В открывшемся окне выберите «Дополнительные параметры для Ubuntu» и нажмите Enter 5. В следующем меню выберите пункт, который относится к ядру 4.15.0-192-generic, и нажмите Enter 6. Когда компьютер загрузится, откройте меню, перейдите в раздел «Интернет» и запустите приложение Anydesk 7. Запишите ID, который отображается в этой программе 8. Оправьте обращение в службу технической поддержки по адресу helpdesk.wb.pvz@yandex.ru  На клавиатуре 2 клавиши Shift Если ни одна из клавиш не реагирует, попробуйте клавишу Tab. Если клавиатура не работает, отключите все USB-устройства и попробуйте вставить клавиатуру в другой разъём",В разделе «История ШК» можно проверить информацию о товаре по штрихкоду. Для этого нужно отсканировать ШК или ввести номер вручную.  В результатах поиска отобразятся две вкладки: «Информация» с характеристиками и «История» с данными о передвижениях товара.
Когда я должен доложить руководителю о готовности?,"Что нужно сделать менеджеру за день? Сверяйтесь с этим чек-листом в течение дня. Советуем приходить хотя бы за 30 минут до смены, чтобы спокойно подготовиться к открытию  1. Осмотрите пункт выдачи:  - Нет следов взлома или протечек - Сообщить руководителю, какие коробки пришли, а какие — нет - Проверить оборудование: всё должно работать  2. Осмотрите стол менеджера:  - На столе чисто: нет мусора и личных вещей - Нет следов скотча и маркера - Есть ножницы, канцелярский нож, маркеры, скотч и возвратные наклейки - Есть пакеты всех 4 размеров: большой, средний, маленький и пакет-майка - Провода лежат аккуратно, не путаются  3. Откройте рабочую программу:  - Убедиться, что интернет работает - Войти в NPOS  Если не знаете пароль от компьютера или WiFi, обратитесь к руководителю  4. Проверьте камеры:  - Видеонаблюдение работает: есть онлайн-трансляция в разделе «Видеонаблюдение» или в программе DMSS - На камерах видно основные зоны: клиентскую и склад  5. Примите товары:  - Проверить, что адрес на коробках совпадает с адресом ПВЗ - Принять и разобрать коробки - Разложить товары из приходных коробок по ячейкам - Вернуться в раздел «Приёмка» и нажать на кнопку «Разбор окончен»  Принимайте и разбирайте коробки только под камерой видеонаблюдения  Нельзя принять больше 10 коробок одновременно. Отсканируйте первые 10 коробок, разберите их, а потом переходите к следующим 10 коробкам  6. Соберите возвраты:  - Создать возвратную коробку - Добавить в коробку отказные и невостребованные товары  7. Напишите руководителю:  - Сообщить, что пункт готов к работе - Рассказать о проблемах, если они есть  8. Откройте пункт и начните выдавать заказы:  - Проверять товар на брак под камерами вместе с покупателем перед примеркой - После примерки проверять, что товар не подменили и не испортили внешний вид - Сверять штрихкоды на пакетах, чтобы не перепутать товары между собой - Если брак есть, сразу отмечать его в программе - Если брак на неотказном или невозвратном товаре, помочь покупателю с заявкой на возврат - Озвучивать покупателю количество товаров и общую сумму перед оплатой - Проверять, что деньги списались  Сейчас заказы часто оплачивают через WB Кошелёк. Спросите у покупателя, есть ли на счёте деньги, прежде чем списать оплату  9. Если нужно на перерыв, повесьте на дверь табличку с номером телефона менеджера, временем начала и окончания перерыва  За рабочий день можно сделать 4 перерыва. Каждый — не больше 15 минут  10. Перед закрытием выдайте последний заказ и подготовьте возвраты:  - Закрыть последний заказ в программе - Собрать отказы, возвраты и невостребованные товары - Отправить отказы клиентов после примерки и возвраты из дома в тот же день - Проверить вкладку «Вещи в офисе». В ней должны отображаться только неизвестные товары: с 2 штрихкодами, излишки и пересорт  Товары, которые доставили в пункт по ошибке, отправляйте на склад вместе с обычными возвратами  11. Приведите в порядок ПВЗ:  - Прибраться в клиентской зоне и на складе - Оставить несколько пустых коробок под возвраты на завтра - Порезать остальные коробки и создать для картона возвратную коробку в программе - Закрыть возвратные коробки в программе - Поставить коробки с картоном и возвратами под камерой  12. Осмотрите и закройте пункт:  - Нет протечек, замыкания или других проблем - Выключить свет - Закрыть дверь","Это важная часть корпоративной культуры Wildberries. Внешний вид менеджера формирует первое впечатление у покупателей, поэтому нужно соблюдать дресс-код — правила по выбору одежды, соответствующей стандартам компании. Выбирайте комфортные и неброские вещи, в которых вам будет удобно работать.  Что нельзя носить:- Головные уборы - Джинсы с цепями, нашивками, дырками и прорезями - Шорты - Обувь с открытой пяткой и пальцами. Что можно носить: -Однотонные джинсы без ярких деталей - Тёмные брюки - Чистая и комфортная обувь без каблука"
"Откуда берется эта 0,025%?","На хозяйственные нужды выделяют 0.025% от выручки ПВЗ  Пример: За день пункт выдачи заработал 200 000 ₽. На хозяйственные нужды менеджеру начислят 0,025% от этой суммы — 50 ₽","Носить бейдж на работе в ПВЗ — значит не просто соблюдать требование компании, но и проявлять заботу о покупателях.  Почему бейдж важен:  - Покупателям будет проще определить, кто менеджер ПВЗ, и обратиться к вам по имени — это персонализирует обслуживание и делает клиентский опыт приятнее. - Бейдж повышает безопасность в пункте выдачи: вам будет легче следить за тем, чтобы посторонние не проникли в рабочую зону.  "
С чем нужно сравнить адрес на наклейке?,"Проверьте коробки. На каждой коробке есть транспортировочная наклейка. Прежде чем принять коробку на баланс, сверьте адрес на наклейке с фактическим адресом вашего пункта выдачи. Если адрес совпал, переходите к следующему шагу.","Возвраты бывают следующих видов: - Отказ. Покупатель отказался от товара при получении в ПВЗ. - Обычный возврат. Покупатель забрал заказ, но передумал и принёс вещь в пункт. - Возврат по браку. Покупатель оформил заявку на проверку товара, а потом принёс вещь в пункт. - Невостребованный товар. Клиент не забрал заказ в течение 12 дней. - Излишек или пересорт. Товар случайно доставили не в тот пункт выдачи."
Где искать SSID и пароль для Wi-Fi?,"На планшете используйте Wi-Fi интернет. SSID и пароль от Wi-Fi указаны на нижней части роутера. Там же есть адрес, например, 192.168.1.1, 192.168.0.1 или router.asus.com. Перейдите по этому адресу, выберите тип соединения WAN и введите настройки, если они не автоматические. Эту информацию предоставляет провайдер.","1. При обычном возврате обязательно выслушайте покупателя  - Доброжелательно поприветствуйте и уточните, в каком пункте выдачи покупатель забирал заказ. Товар можно вернуть только в тот пункт, где заказ получали.  2. Осмотрите и проверьте товар  - Вежливо предупредите покупателя, что вы должны осмотреть товар. - Проверьте товар после покупателя: пломбы, бирки, вшивные ярлыки и заводская упаковка должны быть на месте, а вещь — соответствовать карточке товара: тот же бренд, модель, размер и комплектация.  Если вы не заметите, что вещь подменили или вернули неполный комплект, из выплаты вычтут стоимость товара  3. Проведите возврат в программе  - Если всё в порядке, можно проводить возврат. Подробную инструкцию читайте в разделе «Как провести возврат в программе NPOS»."
Как сканировать товары с браком?,Во вкладке "Дефекты" можно просканировать бракованный товар.,"Чтобы подготовить возврат к отправке: - Надёжно упакуйте товар, чтобы вещь не повредилась и не потерялась во время транспортировки. - Если упаковка повреждённая или недостаточно ненадёжная, укрепите её скотчем или замените на новую. - Если товар без упаковки, сложите вещь в пакет. Не забудьте про штрихкод: его нужно найти в системе, написать номер на бумаге от руки и приклеить на пакет прозрачным скотчем. Так менеджеры склада смогут идентифицировать вещь. - Перейдите в раздел «Коробки в офисе». - Отсканируйте или введите вручную ШК товара и добавьте его в нужную коробку. - Если нет открытых коробок, переведите раскладку на английский язык и отсканируйте возвратную наклейку или введите вручную буквы TRBX и номер коробки в таком формате: TRBX261484964. - Поместите вещь в возвратную коробку."
"Куда обращаться, если нужно оспорить списание?","Чтобы оспорить недостачу и удержание: -Откройте спор в течение 3 дней с того момента, как получили вычет. - Понятно опишите, что произошло. Можно сделать это в самом обращении или приложить документ в формате DOC или DOCX. Файл предварительно добавьте в ту же папку на Яндекс Диске, где будут и остальные материалы. - Убедитесь, что ссылка на Яндекс Диск работает. Не удаляйте папку с материалами, пока спор не закончился. - Пронумеруйте фотографии и видео в хронологическом порядке — так запрос рассмотрят быстрее. - Не откладывайте ответ надолго, если вас попросили прислать дополнительную информацию или материалы. - Соблюдайте правила деловой переписки и не оскорбляйте специалистов.","Совет по поводу того, какие коробки использовать как возвратные. Для возврата можно использовать те же коробки, в которых заказы приезжают в пункт выдачи. Отложите часть упаковки после того, как примете товары. Если коробки не пригодятся в течение дня, их всегда можно порезать и сдать вместе с картоном. "
